,name,price_level,rating,user_ratings_total,formatted_address,latitude,longitude
1002,Bounmy Grill,1,4.3,135,"3207 N Halsted St, Chicago, IL 60657, USA",41.940258,-87.6491275
356,Protein Bar & Kitchen,1,4.2,136,"221 W Washington St, Chicago, IL 60606, USA",41.8830406,-87.6345785
1044,South China Kitchen,1,3.5,137,"11631 S Halsted St, Chicago, IL 60628, USA",41.6830574,-87.641536
865,Noon Hour Grill,1,4.6,138,"6930 N Glenwood Ave, Chicago, IL 60626, USA",42.0075539,-87.6662528
1225,Greek Kitchen,1,4.1,139,"219 W Washington St, Chicago, IL 60606, USA",41.8828735,-87.6344299
138,Groucho's Bar & Grill,1,3.9,140,"8355 S Pulaski Rd, Chicago, IL 60652, USA",41.7405501,-87.7213931
943,Brett's Kitchen,1,4.3,141,"233 W Superior St, Chicago, IL 60654, USA",41.8954511,-87.6355227
487,Macau Tasty House,1,3.6,142,"2826 S Wentworth Ave, Chicago, IL 60616, USA",41.8418579,-87.6320495
459,Huddle House Grill,1,4.3,142,"4748 N Kimball Ave, Chicago, IL 60625, USA",41.9679971,-87.7134901
793,The Four Treys Tavern,1,4.4,144,"3333 N Damen Ave, Chicago, IL 60618, USA",41.9424571,-87.6782738
1219,Nary's Grill & Pizza,1,4.1,146,"4230 S Archer Ave, Chicago, IL 60632, USA",41.8166667,-87.7005556
593,En Lai Asian Chinese Grill,1,4.1,148,"6044 N Broadway, Chicago, IL 60660, USA",41.9922354,-87.6606539
513,Taqueria El Herradero,1,4.4,148,"6828 S Pulaski Rd, Chicago, IL 60629, USA",41.7687139,-87.7227371
786,P.S.BANGKOK,1,4.4,148,"3345 N Clark St, Chicago, IL 60657, USA",41.9429931,-87.6528695
817,Siam Treasure,1,4.4,148,"7152 N Harlem Ave, Chicago, IL 60631, USA",42.0114772,-87.8071241
460,Salad House,1,4.6,149,"3176 N Broadway, Chicago, IL 60657, USA",41.9398493,-87.644535
563,Stevo's Grill,1,3.5,150,"2326 W Belmont Ave, Chicago, IL 60618, USA",41.939652,-87.6867235
331,Three Harmony Chinese Restaurant,1,3.8,151,"4546 N Magnolia Ave, Chicago, IL 60640, USA",41.9649899,-87.6612744
1107,Fiesta Grill,1,3.9,151,"5636 Roosevelt Rd, Chicago, IL 60644, USA",41.865881,-87.7657035
254,New Grand Chinese Kitchen,1,3.5,152,"5401 S Wentworth Ave, Chicago, IL 60609, USA",41.796064,-87.630218
1200,La Mexicana Grill,1,4.1,153,"3731 N Clark St, Chicago, IL 60613, USA",41.9498727,-87.6583847
488,Miso Asian Kitchen,1,4.4,154,"4449 N Broadway, Chicago, IL 60640, USA",41.963102,-87.6557712
679,Brothers Restaurant,1,4.5,157,"3000 W Belmont Ave, Chicago, IL 60618, USA",41.9395815,-87.7029244
1149,Choi's Chinese Restaurant,1,3.6,159,"2638 N Milwaukee Ave, Chicago, IL 60647, USA",41.9295715,-87.7085822
832,Wing Yip Chop Suey Restaurant,1,4.2,161,"537 W 26th St, Chicago, IL 60616, USA",41.8451976,-87.6414443
362,Los Portales Mexican Restaurant,1,4.2,163,"1418 W Morse Ave, Chicago, IL 60626, USA",42.0080129,-87.6666799
723,Gio's BBQ Bar & Grill,1,4,164,"4857 N Damen Ave, Chicago, IL 60625, USA",41.9704417,-87.6790306
696,ChipMonks,1,4.2,164,"438 W Diversey Pkwy, Chicago, IL 60614, USA",41.9329966,-87.6409901
729,Mei Shung,1,4,165,"5511 N Broadway, Chicago, IL 60640, USA",41.9822029,-87.6596987
819,Konak Pizza & Grill,1,4.4,165,"5150 N Clark St, Chicago, IL 60640, USA",41.9759046,-87.668578
