,name,price_level,rating,user_ratings_total,formatted_address,latitude,longitude
204,Popeyes Louisiana Kitchen,1,3.1,1052,"9516 S Vincennes Ave, Chicago, IL 60643, USA",41.7208303,-87.6510982
1361,Offshore Rooftop,NULL,4,1055,"1000 E Grand Ave, Chicago, IL 60611, USA",41.8918435,-87.6001717
434,El Taconazo La Fiesta,1,4.3,1073,"7146 W Diversey Ave, Chicago, IL 60707, USA",41.9309271,-87.8059014
614,Eggy's Diner,2,4.5,1077,"333 E Benton Pl #103, Chicago, IL 60601, USA",41.8853303,-87.618823
812,D.S. Tequila Company,2,4.2,1078,"3352 N Halsted St, Chicago, IL 60657, USA",41.9433474,-87.6495891
1312,Cesar's Killer Margaritas - Broadway,2,4.1,1083,"2924 N Broadway, Chicago, IL 60657, USA",41.9357037,-87.6444198
536,Chilango Mexican Street Food/ Litos Empanadas,1,4.5,1097,"1437 W Taylor St ste 1, Chicago, IL 60607, USA",41.8691471,-87.663138
642,New China Buffet,1,3.9,1099,"3246 W Addison St #4329, Chicago, IL 60618, USA",41.9467869,-87.7096592
1326,Hub's Restaurant,1,4.2,1101,"5540 N Lincoln Ave, Chicago, IL 60625, USA",41.9820745,-87.6938555
438,Lets Get Poppin Inc,1,4.6,1105,"11758 S Western Ave, Chicago, IL 60643, USA",41.6792848,-87.6809758
954,Plymouth Restaurant & Rooftop Bar,2,3.9,1108,"327 S Plymouth Ct, Chicago, IL 60604, USA",41.8774756,-87.6285532
493,The Aviary,4,4.4,1109,"955 W Fulton Market, Chicago, IL 60607, USA",41.8864972,-87.6520049
934,Arby's,1,4,1113,"7807 S Cicero Ave, Chicago, IL 60652, USA",41.750646,-87.7409469
254,Kizuki Ramen & Izakaya,2,4.3,1116,"1482 N Milwaukee Ave, Chicago, IL 60622, USA",41.9087604,-87.6751855
147,Soule,2,4.1,1125,"1931 W Chicago Ave, Chicago, IL 60622, USA",41.8957257,-87.675822
948,Las Tablas On Lincoln,2,4.3,1125,"2942 N Lincoln Ave, Chicago, IL 60657, USA",41.9352194,-87.6627444
778,Roanoke Restaurant,2,4.4,1126,"135 W Madison St, Chicago, IL 60602, USA",41.8818554,-87.6319806
66,Solazo,2,4.1,1128,"5600 S Pulaski Rd, Chicago, IL 60629, USA",41.7912473,-87.7233517
1075,Garrett Popcorn Shops,2,4.6,1128,"26 W Randolph St, Chicago, IL 60601, USA",41.8846663,-87.6288327
591,Topo Gigio Ristorante,2,4.6,1136,"1516 N Wells St, Chicago, IL 60610, USA",41.9096797,-87.6348288
790,Scofflaw,2,4.6,1137,"3201 W Armitage Ave, Chicago, IL 60647, USA",41.9172977,-87.7072039
1054,Pueblito Viejo,2,4.4,1139,"5429 N Lincoln Ave, Chicago, IL 60625, USA",41.9804387,-87.692543
366,La Josie,2,4.4,1148,"740 W Randolph St, Chicago, IL 60661, USA",41.8846976,-87.647283
1314,Xurro,1,4.5,1174,"2214 S Wolcott Ave Near, Chicago, IL 60608, USA",41.8517,-87.6735534
237,Shawn Michelle's Homemade Ice Cream Bronzeville,2,4.8,1178,"46 E 47th St, Chicago, IL 60653, USA",41.8093554,-87.6241486
523,Chicago Q,2,4.4,1184,"1160 N Dearborn St, Chicago, IL 60610, USA",41.903623,-87.6301141
1044,Mercedes-Benz of Chicago Service Center,NULL,4.5,1188,"949 N Elston Ave Suite 2, Chicago, IL 60642, USA",41.8993426,-87.6545574
78,Hyatt Place Chicago/River North,NULL,4.4,1209,"66 W Illinois St, Chicago, IL 60654, USA",41.8909951,-87.6306927
1084,MingHin Cuisine,2,4.4,1210,"333 E Benton Pl #300, Chicago, IL 60601, USA",41.8851696,-87.6191526
211,Jerk Villa Bar & Grill,2,3.5,1212,"2216 S Michigan Ave, Chicago, IL 60616, USA",41.8524093,-87.6239413
996,Boka,3,4.7,1215,"1729 N Halsted St, Chicago, IL 60614, USA",41.9135551,-87.6480103
378,Landmark's Century Centre Cinema,NULL,4.5,1219,"2828 N Clark St, Chicago, IL 60657, USA",41.9335842,-87.6456908
961,Flaco's Tacos,1,4,1221,"725 S Dearborn St, Chicago, IL 60605, USA",41.8727352,-87.6289697
105,Reno,2,4.5,1227,"2607 N Milwaukee Ave, Chicago, IL 60647, USA",41.9291558,-87.7071787
212,South Branch Tavern and Grille,2,4.3,1229,"100 S Wacker Dr, Chicago, IL 60606, USA",41.8804843,-87.6377693
1273,AV Anthony's,1,4.2,1234,"4720 W 63rd St, Chicago, IL 60629, USA",41.7787104,-87.7409028
861,Hyatt Centric The Loop Chicago,NULL,4.4,1234,"100 W Monroe St, Chicago, IL 60603, USA",41.8809159,-87.6310932
170,Roister Restaurant,3,4.5,1237,"951 W Fulton Market, Chicago, IL 60607, USA",41.886518,-87.651868
227,Honky Tonk BBQ,2,4.3,1241,"1213 W 18th St, Chicago, IL 60608, USA",41.8578007,-87.6568177
613,Il Porcellino,2,4.6,1242,"59 W Hubbard St, Chicago, IL 60654, USA",41.8899214,-87.6302905
997,Joe's on Weed St.,2,4.3,1271,"940 W Weed St, Chicago, IL 60642, USA",41.9099108,-87.6521578
582,ROOF on theWit,3,4.1,1276,"201 N State St 27th Floor, Chicago, IL 60601, USA",41.8860414,-87.6276233
1367,The Original Maxwell Street,1,4.1,1289,"3801 W Harrison St, Chicago, IL 60624, USA",41.8733152,-87.7209845
689,Royal Sonesta Chicago River North,3,4.4,1298,"505 N State St, Chicago, IL 60654, USA",41.8914532,-87.6271926
454,McDonald's Global Menu Restaurant,1,4,1306,"1035 W Randolph St, Chicago, IL 60607, USA",41.8838382,-87.6536235
