,name,price_level,rating,user_ratings_total,formatted_address,latitude,longitude
313,O'Briens Riverwalk Cafe,2,3.6,612,"45 E Riverwalk S, Chicago, IL 60601, USA",41.888012,-87.6262098
720,Italian Fiesta Pizzeria - 47th St,2,3.6,930,"1306 E 47th St, Chicago, IL 60653, USA",41.8103516,-87.595066
1044,HUNAN BISTRO,2,3.6,8,"2414 S Wentworth Ave, Chicago, IL 60616, USA",41.8486637,-87.632203
1281,Cite,3,3.6,818,"Lake Point Tower, 505 N Lake Shore Dr 70th Floor, Chicago, IL 60611, USA",41.8915839,-87.6126983
203,Harold's Chicken Shack #23,NULL,3.6,113,"203 E Garfield Blvd, Chicago, IL 60637, USA",41.7941811,-87.6204402
223,Island Fish & Chicken,NULL,3.6,8,"1359 W 79th St, Chicago, IL 60620, USA",41.7502446,-87.6584092
453,"Super JJ, Fish, Chicken & Ribs",NULL,3.6,8,"Mall Food Court, 7601 S Cicero Ave, Chicago, IL 60652, USA",41.7554539,-87.7371302
665,Lawndale Christian Health Center - Breakthrough,NULL,3.6,28,"3219 W Carroll Ave, Chicago, IL 60624, USA",41.8873443,-87.7070999
1042,Taco Spot,NULL,3.6,41,"311 W 79th St, Chicago, IL 60620, USA",41.7505072,-87.6324416
1292,Wild Taco,NULL,3.6,108,"1529 N Wells St, Chicago, IL 60611, USA",41.9099937,-87.6344271
86,Jet's Pizza,1,3.7,19,"7070 N Clark St, Chicago, IL 60626, USA",42.0112547,-87.6745823
225,Harold's Chicken Shack West Loop,1,3.7,1052,"1501 W Madison St, Chicago, IL 60607, USA",41.8812515,-87.6649022
307,JUST PIZZA,1,3.7,57,"4349 W Fullerton Ave, Chicago, IL 60639, USA",41.924153,-87.7360392
343,Monica's Pizza,1,3.7,194,"6448 S Pulaski Rd, Chicago, IL 60629, USA",41.7753564,-87.7231757
376,Subway,1,3.7,257,"5973 W Madison St, Chicago, IL 60644, USA",41.8798687,-87.7744499
412,Trino's Pizza,1,3.7,63,"2001 W 35th St, Chicago, IL 60609, USA",41.8302175,-87.6754364
625,Pizza Nova,1,3.7,781,"5849 S Pulaski Rd, Chicago, IL 60629, USA",41.7861373,-87.7223796
673,Taco Bell,1,3.7,668,"3350 W Roosevelt Rd, Chicago, IL 60624, USA",41.8667577,-87.7103211
899,Pizza Nova - W 18th St,1,3.7,449,"1842 W 18th St, Chicago, IL 60608, USA",41.8578143,-87.6727865
1028,BoJono's Pizzeria,1,3.7,106,"4185 N Clarendon Ave, Chicago, IL 60613, USA",41.9581017,-87.6496586
1079,Si-Pie Pizzeria - Lincoln Square,1,3.7,3,"5505 N Lincoln Ave, Chicago, IL 60625, USA",41.9815618,-87.6925322
1233,Naty's Pizza,1,3.7,635,"5129 S Kedzie Ave, Chicago, IL 60632, USA",41.7999554,-87.7036216
103,Tony's Philly Steak Hooks Fish & Chicken,2,3.7,50,"4355 S Cottage Grove Ave, Chicago, IL 60653, USA",41.81521,-87.6060828
113,Harold's Chicken Shack #36 (Wicker Park),2,3.7,447,"1361 N Milwaukee Ave, Chicago, IL 60622, USA",41.906721,-87.671377
187,Sarpino's Pizzeria Wrigleyville,2,3.7,273,"1435 W Montrose Ave, Chicago, IL 60613, USA",41.9612694,-87.6664963
221,Harold's Chicken,2,3.7,165,"1711 E 87th St, Chicago, IL 60617, USA",41.7367285,-87.5822504
261,TRUTH Ribzzz & More,2,3.7,119,"11346 S Michigan Ave, Chicago, IL 60628, USA",41.687596,-87.6210889
403,Volcano Sushi 90 -Taylor St,2,3.7,364,"1062 W Taylor St, Chicago, IL 60607, USA",41.8695943,-87.6535489
186,Gallery Food,NULL,3.7,14,"10701 S Wentworth Ave, Chicago, IL 60628, USA",41.6997015,-87.6279498
236,Harold's Chicken #55 Express,NULL,3.7,385,"8653 S State St, Chicago, IL 60619, USA",41.7367169,-87.6239159
249,Roots & Vine Produce And Cafe,NULL,3.7,3,"2016 W 119th St, Chicago, IL 60643, USA",41.6773644,-87.671226
281,Citgo,NULL,3.7,99,"1535 W Grand Ave, Chicago, IL 60642, USA",41.8907512,-87.6667851
